Friendly name,prefix,body,description
dt_aff,#dt_aff,~#dt_aff~,Sets the damage type of the weapon to a special effect or affliction. The specific affliction the weapon inflicts is set with the #dmg command so the weapons damage value is interpreted as a bitmask value according to the (affliction table)(#afflictions). The table uses bitmask values meaning powers of 2. The numbers are expressed as powers of 2 because numbers after about 2|20 get very big very quickly.
dt_bouncekill,#dt_bouncekill,~#dt_bouncekill~,This effect will bounce a few times to nearby targets like a chain lightning. Weapons with this effect should have aoe = 1.
dt_cap,#dt_cap,~#dt_cap~,Sets the damage type to capped damage (max 1 HP damage) like a whip or a blowgun.
dt_constructonly,#dt_constructonly,~#dt_constructonly~,Only inanimate beings are affected by this weapon.
dt_demon,#dt_demon,~#dt_demon~,Sets the damage type to anti-demon damage. This means double damage to demons.
dt_drain,#dt_drain,~#dt_drain~,The weapon drains life force from its target healing damage and reducing fatigue for the attacker.
dt_holy,#dt_holy,~#dt_holy~,Sets the damage type to holy damage. This means triple damage to undead and demons.
dt_interrupt,#dt_interrupt,~#dt_interrupt~,This damage is not real but it can still interrupt mages casting spells.
dt_large,#dt_large,~#dt_large~,The weapon does triple damage against creatures larger than the attacker.
dt_magic,#dt_magic,~#dt_magic~,The weapon does double damage to magic beings.
dt_normal,#dt_normal,~#dt_normal~,Sets the damage type to normal damage. This is the default.
dt_paralyze,#dt_paralyze,~#dt_paralyze~,Sets the damage type to paralyze. Damage value is NOT directly turns of paralysis. Use 10 for a standard strength paralyze.
dt_poison,#dt_poison,~#dt_poison~,Sets the damage delivery mechanism to poison damage. Poison damage is caused over several combat rounds. To make a poisoned weapon do NOT use this command. Use a secondary effect that has both #poison and this command.
dt_raise,#dt_raise,~#dt_raise~,If the target is killed by the weapon it is animated as a soulless servant of the attacker.
dt_realstun,#dt_realstun,~#dt_realstun~,Sets the damage type to stun. The damage value for stun weapons should be 100. Stunned units are unable to take any action for about 1 combat round.
dt_sizestun,#dt_sizestun,~#dt_sizestun~,Sets the damage type to fatigue damage that is less effective on large targets. Effectively the same as #dt_stun + #sizeresist.
dt_small,#dt_small,~#dt_small~,The weapon does double damage against creatures smaller than the attacker.
dt_stun,#dt_stun,~#dt_stun~,Sets the damage type to fatigue damage.
dt_weakness,#dt_weakness,~#dt_weakness~,The weapon drains strength from its target instead of doing normal damage.
dt_weapondrain,#dt_weapondrain,~#dt_weapondrain~,The weapon drains life but max 5 points of the damage is used to heal the wielder. Use this for draining weapons that can be wielded or forged.
dungeon,#dungeon,~#dungeon~,The monster is a suitable encounter in a dungeon.
dyingdom,#dyingdom,~#dyingdom~,Dominion is dying and needs blood sacrifice. Temples have no effect here except if blood sacrifices are performed there or if a priest preaches there. Mictlan has a dominion like this combined with #nopreach and #sacrificedom.
earthattuned,#earthattuned,~#earthattuned~,Chance of getting a bonus level of magic when transformed into this being.  In place of [path] insert the name of the magic path in all lower case for the correct command (#fireattuned #airattuned etc).
earthblessbonus,#earthblessbonus,~#earthblessbonus~,Gods of this nation will get extra bless design points of this type.
earthboost,#earthboost,~#earthboost~,One commander determined by target requirements or the monster number may gain +1 Earth magic.
earthrange,#earthrange,~#earthrange~,All Earth rituals cast in this province have their range increased by
effect,#effect,~#effect~,Set the effect of the spell. Some of the most common eff values can be seen in tables Ritual spell effects and Combat spell effects. Value higher than 10000 are rituals and those lower are combat spells. There are many other values that can be used but these are the only documented ones for now. Press ctrl-i in game when viewing the spell details to see some modding information including the effect value.
elegist,#elegist,~#elegist~,The monster is more effective than its normal priest level when calling a god or disciple back from death. The Elegist value is added to its priest level when performing this action.
elementrange,#elementrange,~#elementrange~,All Elemental magic (Fire Air Water Earth) rituals cast in this province have their range increased by
emigration,#emigration,~#emigration~,A percentage of the province population emigrates elsewhere.
enc,#enc,~#enc~,The basic encumbrance of the monster. Normal humans have 3 and undead beings or machines have 0. Monsters with 0 encumbrance never get exhausted by fighting only spellcasting.
enchcost,#enchcost,~#enchcost~,All rituals of the Enchantment school cast in this province cost
enchrebate25p,#enchrebate25p,~#enchrebate25p~,The monster will be 25 percent cheaper to recruit when this enchantment is active.
enchrebate50,#enchrebate50,~#enchrebate50~,The monster will be 50 gold cheaper to recruit when this enchantment is active.
enchrebate50p,#enchrebate50p,~#enchrebate50p~,The monster will be 50 percent cheaper to recruit when this enchantment is active.
end,#end,~#end~,Always use this command at the end of modifying an event.
enemyimmune,#enemyimmune,~#enemyimmune~,Enemy units are immune to this weapon.
entangle,#entangle,~#entangle~,Anyone striking this monster may get entangled.
epithet,#epithet,~#epithet~,Sets the epithet of a nation e.g. Enigma of Steel for Early Era Ulm.
era,#era,~#era~,Which era should this nation appear in. 1 = early 2 = mid 3 = late or 0 to disable the nation. Two nations with the same name cannot be in the same era. If you change this it must be set right after #name and #epithet.
eramask,#eramask,~#eramask~,The era mask determines which eras the band can appear in. See table Era masks. The default value is All eras.
ethereal,#ethereal,~#ethereal~,The monster is ethereal. Non-magical weapons have only 25% chance of harming the monster when they hit but when they do they inflict full damage unless mitigated by another ability. Ethereal monsters can pass through walls during the storming of a fortress.
eventisrare,#eventisrare,~#eventisrare~,Random events are divided into two categories common and rare. This value is the chance of a random event to be a rare one. Default is 15.
evil,#evil,~#evil~,The throne is evil and is likely to be defended by evil monsters.
evocost,#evocost,~#evocost~,All rituals of the Evocation school cast in this province cost
exactgold,#exactgold,~#exactgold~,The nation that owns the event gains  gold. Use negative numbers for gold loss.  Scale effects alter the scales of a province. Each #incscale command functions as the equivalent #decscale of its opposite.
expertleader,#expertleader,~#expertleader~,Leadership value 120. Commander cost +100. Commanded units have a morale modifier of +2 for up to 4 squads and -1 for every additional squad.
expertmagicleader,#expertmagicleader,~#expertmagicleader~,This monster has an innate ability to command 120 magic beings. This is a very rare ability that only most magic beings possess.
expertundeadleader,#expertundeadleader,~#expertundeadleader~,This monster has an innate ability to command 120 undead beings. This is a rare ability that usually only demons or undead beings possess.
explspr,#explspr,~#explspr~,Set the particle effect to be used when this spell explodes. -1 = no explosion. See table Explosion fx to find a suitable explosion.
extralife,#extralife,~#extralife~,The bearer of the item is resurrected once when killed in combat. The item disappears when the bearer is resurrected.
eyeloss,#eyeloss,~#eyeloss~,Anyone striking this monster may lose an eye.
eyes,#eyes,~#eyes~,Sets the number of eyes for a monster. Number of eyes must be at least one unless the monster is #blind. The number of eyes affects how easily a monster goes blind by battle afflictions.
fallpower,#fallpower,~#fallpower~,The monster has increased hit points in autumn and lowered hit points in spring.
falsearmy,#falsearmy,~#falsearmy~,The monster creates the false impression of greater numbers than there really are. Enemy scouting reports will inflate the size of the army by
farsail,#farsail,~#farsail~,Commander will be able to sail further if it can sail.
farsumcom,#farsumcom,~#farsumcom~,Sets the commander for farsummoned units to something other than the normal units.
farthronekill,#farthronekill,~#farthronekill~,This monster will automatically destroy thrones in the same province even if they are protected by a fort. Part is the percentage part that will be destroyed each turn 100 means it will be destroyed in a single turn.
fastcast,#fastcast,~#fastcast~,Affects the spell casting time for commanders. Speedup 100=half time 200=one third time -50=double time.
fatiguecost,#fatiguecost,~#fatiguecost~,Set the fatigue cost for this spell. Every 100 in fatigue cost raises the required number of gems or blood slaves by one. Must be used also for rituals to set their gem cost.
fear,#fear,~#fear~,This monster is very fearsome. A high value indicates higher fear. The standard value is 5. Death magic increases the fear value. The monster lowers the morale of enemy units in
feature,#feature,~#feature~, Puts a specific magic site in the active province. This command can be used a maximum of eight times per province
features,#features,~#features~, Sets the magic site frequency. This command will override the site frequency specified in the game setup screen.
feeblemind,#feeblemind,~#feeblemind~,The item bearer becomes Feebleminded. The affliction cannot be healed until the item is removed.
female,#female,~#female~,Being female is a minor advantage that makes you immune to being charmed by the Succubus. Commanders with this tag get feminine names.
fire,#fire,~#fire~,This weapon does fire damage. A fire resistant being will take reduced damage from this weapon.
fireattuned,#fireattuned,~#fireattuned~,Chance of getting a bonus level of magic when transformed into this being.  In place of [path] insert the name of the magic path in all lower case for the correct command (#fireattuned #airattuned etc).
fireblessbonus,#fireblessbonus,~#fireblessbonus~,Gods of this nation will get extra bless design points of this type.
fireboost,#fireboost,~#fireboost~,One commander determined by target requirements or the monster number may gain +1 Fire magic.
firepower,#firepower,~#firepower~,The monster will get stat increases or decreases depending on the Heat scale.
firerange,#firerange,~#firerange~,All Fire rituals cast in this province have their range increased by
fireres,#fireres,~#fireres~,The item grants a Fire Resistance bonus.
fireshield,#fireshield,~#fireshield~,Anyone striking this monster will take
firstshape,#firstshape,~#firstshape~,This monster will change shape to its first shape when it feels ok. Werewolves have this ability in their wolf shapes. Monster nbr can be negative for montags.
fixedname,#fixedname,~#fixedname~,Gives a fixed name to a monster if it is a commander. Useful for giving specific names to heroes.
fixedresearch,#fixedresearch,~#fixedresearch~,The monster produces this amount of research even without magic skills.
fixforgebonus,#fixforgebonus,~#fixforgebonus~,Gem reduction when forging items. The value is in absolute numbers of gems not in percent like the other forgebonus. This is the default forgebonus mechanic in Dominions 5.
flag,#flag,~#flag~,Replace the flag with an image. The image must be 128 pixels wide and 128 pixels high. The flag should be positioned at the bottom of this image and should usually be smaller than the entire image. A standard flag only covers about 75 percent of the height.
flagland,#flagland,~#flagland~,"Sets or removes an event flag from a province. The event flag is displayed as an image of a book on the map.  1 = set flag 0 = remove flag Requires an event code in the province. If the event code is reset to 0, the flag automatically disappears."
flail,#flail,~#flail~,The weapon has a +2 attack bonus against shields. Morningstars and flails have this feature. Whips do not because they do not have enough momentum when they wrap around a shield.
flightspr,#flightspr,~#flightspr~,Set the sprite or particle effect to be used when this spell is flying. The flysprite nbr should be a value from the table Flysprites.
float,#float,~#float~,The item grants its bearer the ability to float.
fly,#fly,~#fly~,The item grants its bearer the ability to fly.
flying,#flying,~#flying~,This monster can fly. To be able to fly in a storm the monster must also be #stormimmune. The monster can cross rivers. It can also cross mountain passes if it is not cold in the provinces the pass connects.
flyingimmune,#flyingimmune,~#flyingimmune~,Flying and floating beings are immune to this weapon.
flyspr,#flyspr,~#flyspr~,"Use this command to set how the arrow looks like for a missile weapon. A value of -1 for a flysprite means there is no flysprite at all. Table Flysprites shows some numbers that can be used for missile weapons. Flysprite numbers of 10000 and higher are particle effects, lower numbers are hand drawn sprites."
fogcol,#fogcol,~#fogcol~, Color the world with the specified colors for fights in the current province. Color values range from 0 to 255.
foolscouts,#foolscouts,~#foolscouts~,The monster creates the false impression of uniformity in its own army. Enemy scouting reports will perceive the army to only contain one type of troop. The reported troop type is usually the most common troop type present.
foolscouts,#foolscouts,~#foolscouts~,The monster creates the false impression of uniformity in its own army. Enemy scouting reports will perceive the army to only contain one type of troop. The reported troop type is usually the most common troop type present.
foreignshape,#foreignshape,~#foreignshape~,The monster changes to this shape when moving out of its home province.
forestcom,#forestcom,~#forestcom~,This commander can be recruited in forest provinces with or without fort. See the box below for all command names.
forestlabcost,#forestlabcost,~#forestlabcost~,Gold cost for building a lab in a forest. Default is 500.
forestrec,#forestrec,~#forestrec~,This unit can be recruited in forest provinces with or without fort. See the box below for all command names.
forestshape,#forestshape,~#forestshape~,The monster changes to this shape when moving from a non-forest province to a forest province.
forestsurvival,#forestsurvival,~#forestsurvival~,Monster has the Forest Survival skill. Forest terrain does not hinder movement.
foresttemplecost,#foresttemplecost,~#foresttemplecost~,Gold cost for building a temple in a forest. Default is 400.
forgebonus,#forgebonus,~#forgebonus~,Makes it cheaper to create magic items.
formationfighter,#formationfighter,~#formationfighter~,A formation fighter is well drilled in using tight formations and can fit more units into one square. The xsize value indicates the extra size points that will fit in a square. Use a value of 2 for a normal formation fighting human.
fort,#fort,~#fort~, Puts a specific fort in the active province. Fort nbr is a number between 1 and 29 and the list of fort numbers can be found in the Fortifications table. Will replace a nations default fort if used on a capital location.
fortcost,#fortcost,~#fortcost~,Extra cost is the additional amount of gold the nation must pay for its forts expressed as a percentage of the normal cost for building a fort. The default value is 0.
fortera,#fortera,~#fortera~,Determines what kind of forts the nation can build.  0 = palisades only 1 = standard forts for early era 2 = standard forts for middle era 3 = standard forts for late era 4 = better than standard forts for late era
fortkill,#fortkill,~#fortkill~,This monster will automatically destroy forts in the same province. Chance is the chance in percent that the fort will be destroyed each turn.
fortunrest,#fortunrest,~#fortunrest~,Unrest will increase by 1-value (open ended die roll) in all forts each month.  These commands are set the special attributes of the nation and its Dominion.
friendlyench,#friendlyench,~#friendlyench~,1 means the enchantment created by this spell is friendly. It will be dispelled automatically if the province is conquered by the enemy.
friendlyimmune,#friendlyimmune,~#friendlyimmune~,Friendly units are immune to this weapon.
fullstr,#fullstr,~#fullstr~,The full weapon wielders strength will be added to the damage. This is the default and need not be specified.
futuresite,#futuresite,~#futuresite~,This will cause any linked units and commanders to show up on a nations overview screen. Very useful to show summons or other national units upfront.
gainaff,#gainaff,~#gainaff~,One commander determined by target requirements gains the specified affliction. Afflictions are listed in the table below. The bitmask is expressed as powers of 2. Add together several bitmasks if more than one affliction is desired.
gainmark,#gainmark,~#gainmark~,One commander determined by target requirements gains one level of horrormark.
gcost,#gcost,~#gcost~,The cost in gold. Most human troops have a gold cost of 10.
gemloss,#gemloss,~#gemloss~,"Lose 3d6 gems of specified type. Gem type 53 can be used for all types, then 1d6 will be lost of each type of gem. Use gem type 56 to exclude blood slaves."
gemprod,#gemprod,~#gemprod~,This monster produces a number of magic gems each month. The type ranges from 0 (fire gems) to 7 (blood slaves). See table Magic path numbers.
gems,#gems,~#gems~,Gives gem income to the magic site. Path should be a number between 0 and 7. See table magic paths numbers.
ghostreanim,#ghostreanim,~#ghostreanim~,"Reanimating priest of this nation will create ghosts like Lemuria.  NOTE, Caelian Atlantian Jotun Rephaite and monkey undead are hard coded for their respective nations and their reanimation cannot be unlocked for modding using reanimation commands.  National Reanimation Lists Use the various monster summoning commands such as #makemonsters15 with a #montag value to create custom reanimation lists for those priests that need it.  18 Poptype Modding Use these commands to mod poptypes."
giftofwater,#giftofwater,~#giftofwater~,A commander with this ability is able to bring a number of units underwater with him as long as their combined size points do not exceed the value of this ability.
goddomchaos,#goddomchaos,~#goddomchaos~,Increases the Turmoil or chaos scale of the gods dominion. Use a negative value to increase Order.
goddomcold,#goddomcold,~#goddomcold~,Increases the Cold scale of the gods dominion. Use a negative value to increase Heat.
goddomdeath,#goddomdeath,~#goddomdeath~,Increases the Death scale of the gods dominion. Use a negative value to increase Growth.
goddomdrain,#goddomdrain,~#goddomdrain~,Increases the Drain scale of the gods dominion. Use a negative value to increase Magic.
goddomlazy,#goddomlazy,~#goddomlazy~,Increases the Sloth scale of the gods dominion. Use a negative value to increase Production.
goddommisfortune,#goddommisfortune,~#goddommisfortune~,Increases the Misfortune scale of the gods dominion. Use negative value to increase Luck.
godpathspell,#godpathspell,~#godpathspell~,This is used for divine spells that should only be available when the God is best with this particular magic path. -1 can be used for the fallback spell that should be available when the god has no path that is good enough.
godrebirth,#godrebirth,~#godrebirth~,The nations god does not lose any magic path levels when recalled from the dead by priests.
gold,#gold,~#gold~,The nation that owns the event gains  gold. Use negative numbers for gold loss. The value varies with +/- 50%.
golemhp,#golemhp,~#golemhp~,Inanimate beings in gain a percentage boost to their hit points for each dominion candle (Golem Cult dominion like Agartha).
goodleader,#goodleader,~#goodleader~,Leadership value 80. Commander cost +60. Commanded units have a morale modifier of +1 for up to 3 squads and -1 for every additional squad.
goodmagicleader,#goodmagicleader,~#goodmagicleader~,This monster has an innate ability to command 80 magic beings. This is a very rare ability that only most magic beings possess.
goodundeadleader,#goodundeadleader,~#goodundeadleader~,This monster has an innate ability to command 80 undead beings. This is a rare ability that usually only demons or undead beings possess.
greaterhorror,#greaterhorror,~#greaterhorror~,Monsters with this tag are used as horrors.
greekreanim,#greekreanim,~#greekreanim~,Reanimating priest of this nation will create greek ghosts like Therodos.
groundcol,#groundcol,~#groundcol~, Color the world with the specified colors for fights in the current province. Color values range from 0 to 255.
growhp,#growhp,~#growhp~,The monster grows into the previous monster once it has this many hit points or more. Hydras use this mechanic.
guardspirit,#guardspirit,~#guardspirit~,Priests of this nation have a chance of receiving a guardian angel when in battle. Nbr can be negative for montags.
guardspiritbonus,#guardspiritbonus,~#guardspiritbonus~,Increases the chance of receiving a guardian spirit with +value percent.
halfdeathinc,#halfdeathinc,~#halfdeathinc~,The nation will only be half as affected by the death/growth scale regarding gold income. Abysia has this ability.
halfdeathpop,#halfdeathpop,~#halfdeathpop~,The nation will only be half as affected by the death/growth scale regarding population growth. Abysia has this ability.
halfstr,#halfstr,~#halfstr~,Only one half of the weapon wielders strength will be added to the damage. This is normally used for the breath weapons of dragons.
haltheretic,#haltheretic,~#haltheretic~,"Works like Awe, except that it only works against sacred units."
hardmrneg,#hardmrneg,~#hardmrneg~,The effects of the weapon may be resisted by MR but there is a penalty to the MR check.
hatesterr,#hatesterr,~#hatesterr~,Makes the nation less likely to start in one of the terrains in the terrain mask.
heal,#heal,~#heal~,The site causes a healing check to be performed at the indicated percent chance on every unit in the province like a healing unit set to Heal Troops. If the healing check is successful a check against the healing difficulty of any affliction the unit has is performed. If the difficulty check is successful up to one affliction is removed.
healer,#healer,~#healer~,Grants a commander the Heal Troops ability. The percent value is the chance of success for every unit in the province. Success chance is checked against every unit to see if the commander successfully uses the healing ability. If successful a check is made against the difficulty of each affliction and if it succeeds the affliction in question is healed. Some afflictions are harder to heal than others. This command still works but it is replaced in all instances of in-game occurrence with the #autohealer or #autodishealer mechanic.
heat,#heat,~#heat~,This monster is surrounded by heat like an Abysian. The heat aura is
heatrec,#heatrec,~#heatrec~,Heat scale requirement for recruitment.
heretic,#heretic,~#heretic~,The monster decreases dominion in the province it resides in as if it was an enemy priest engaged in preaching. The value of the heretic ability acts as the priest level and should be set within the range of 1 \u2013 5.
hero1,#hero1,~#hero1~,Gives a hero to the modded nation. A nation can have up to ten different heroes. Use monster nbr -1 to remove a hero.
hero10,#hero10,~#hero10~,Gives a hero to the modded nation. A nation can have up to ten different heroes. Use monster nbr -1 to remove a hero.
hero2,#hero2,~#hero2~,Gives a hero to the modded nation. A nation can have up to ten different heroes. Use monster nbr -1 to remove a hero.
hero3,#hero3,~#hero3~,Gives a hero to the modded nation. A nation can have up to ten different heroes. Use monster nbr -1 to remove a hero.
hero4,#hero4,~#hero4~,Gives a hero to the modded nation. A nation can have up to ten different heroes. Use monster nbr -1 to remove a hero.
hero5,#hero5,~#hero5~,Gives a hero to the modded nation. A nation can have up to ten different heroes. Use monster nbr -1 to remove a hero.
hero6,#hero6,~#hero6~,Gives a hero to the modded nation. A nation can have up to ten different heroes. Use monster nbr -1 to remove a hero.
hero7,#hero7,~#hero7~,Gives a hero to the modded nation. A nation can have up to ten different heroes. Use monster nbr -1 to remove a hero.
hero8,#hero8,~#hero8~,Gives a hero to the modded nation. A nation can have up to ten different heroes. Use monster nbr -1 to remove a hero.
hero9,#hero9,~#hero9~,Gives a hero to the modded nation. A nation can have up to ten different heroes. Use monster nbr -1 to remove a hero.
hiddenench,#hiddenench,~#hiddenench~,1 means the enchantment created by this spell is not visible during battles. It should be used on enchantments that does not affect battles.
hiddensite,#hiddensite,~#hiddensite~,"Adds a new, hidden site to the province. Use -1 for site number to place [sitename] instead. [sitename] must be added to event message text in brackets."
holy,#holy,~#holy~,Holy (sacred) troops can be blessed by priests.
holyboost,#holyboost,~#holyboost~,One commander determined by target requirements or the monster number may gain +1 Priest level.
holyfire,#holyfire,~#holyfire~,Every turn any undead or demonic troops in the province have the indicated chance (percent) to be struck by holy fire which deals 10 points of armor-negating damage if they fail a MR check against an attack value of 12.
holypower,#holypower,~#holypower~,Every turn any undead troops in the province have the indicated chance (percent) to be struck by holy power which deals 10 points of armor- negating damage if they fail a MR check against an attack value of 12.
homecom,#homecom,~#homecom~,Adds a monster that can be recruited as commander by the original owner of this site only.
homefort,#homefort,~#homefort~,The nation will start with this fort in its home province. This command does not affect what type of forts the nation can build. The command is only necessary if the home fort should deviate from the standard one for their fortera. See the table below for a list of forts.
homemon,#homemon,~#homemon~,Adds a monster that can be recruited by the original owner of this site only.
homerealm,#homerealm,~#homerealm~,Any gods that belong to this realm (through the use of the #homerealm monster modding command) are automatically included in the nations default list of pretenders and need not be separately added to the list with the #addgod command. See Table Home realms. Unlike the homerealm of a pretender god the homerealm of a nation cannot be cleared.
homeshape,#homeshape,~#homeshape~,The monster changes to this shape when moving into its home province.
homesick,#homesick,~#homesick~,This monster takes damage equal to the indicated percentage of its total hit points every turn it spends away from its home province (the province where it was first recruited summoned or spawned).
horrordeserter,#horrordeserter,~#horrordeserter~,Like #deserter but the desertion chance is increased during astral corruption.
horrormark,#horrormark,~#horrormark~,Every turn any unit in the province has the indicated chance (percent) to be horror marked.
horsereanim,#horsereanim,~#horsereanim~,Reanimating priests with holy magic of level 3 or higher can reanimate longdead horsemen. Sceleria and Ashen Empire Ermor have this attribute.
horsetattoo,#horsetattoo,~#horsetattoo~,Magic tattoo like the units of Marverni and Sauromatia have.
hp,#hp,~#hp~,The item grants a bonus to hit points.
hpoverflow,#hpoverflow,~#hpoverflow~,The monsters hit points can increase past the normal maximum. The extra HP are permanently retained until lost due to damage. This command is useful for units that possess life drain attacks or that can #digest swallowed monsters.
hpoverslow,#hpoverslow,~#hpoverslow~,The monsters hit points can go over their normal maximum value by 0 - 1000 percent. They will slowly return to normal.
humanoid,#humanoid,~#humanoid~,The default bodytype. Use this for humans ogres angels humanlike statues and similar.
iceforging,#iceforging,~#iceforging~,The monster generates
iceprot,#iceprot,~#iceprot~,Protection varies with the temperature in the province. The protection value is added or subtracted for every step on the Cold scale.
iceweapon,#iceweapon,~#iceweapon~,The weapon is made of ice and cannot be fire blessed.
icon,#icon,~#icon~,A banner image for your mod. This image should be 128x32 or 256x64 pixels large.
id,#id,~#id~,Sets an event identifier. Used for spells that create anonymous random events.
idealcold,#idealcold,~#idealcold~,Sets the preferred level of cold for the nation. This ranges from -3 (very hot) to 3 (very cold).
illusion,#illusion,~#illusion~,Gives a monster glamour. These monsters cannot be discovered by scouts and have a mirror image protecting them in battles. This command adds 25 to the monsters existing stealth value if it already has the #stealthy attribute. Glamour does not grant stealth to monsters that have no stealth to begin with.
imagefile,#imagefile,~#imagefile~, The image file of the map in TGA
immobile,#immobile,~#immobile~,This monster is Immobile like the Monolith. Immobile units may teleport but cannot use the Cloud Trapeze spell..
immortal,#immortal,~#immortal~,This monster is immortal like a Lich.
inanimate,#inanimate,~#inanimate~,Inanimate beings are immune to some spells.
inanimateimmune,#inanimateimmune,~#inanimateimmune~,Lifeless beings are immune to this weapon.
inccorpses,#inccorpses,~#inccorpses~,Number of unburied corpses increases by this amount +/- 25%. The value can be negative to remove corpses.
incdom,#incdom,~#incdom~,Increases dominion in the province by  candles.
incorporate,#incorporate,~#incorporate~,The monster incorporates any swallowed creatures as a part of itself. Swallowed creatures take damage every combat round until dead or until the monster that swallowed them is killed.  The monster that incorporates them heals a number of hit points equal to damage inflicted every combat round.
incpop,#incpop,~#incpop~,Province population increases by this amount +/- 25%.
incprovdef,#incprovdef,~#incprovdef~,The monster is good at organizing province defenses. PD is increased by
incscale,#incscale,~#incscale~,Increases the specified scale in the province by one step.
incscale2,#incscale2,~#incscale2~,Increases the specified scale in the province by two steps.
incscale3,#incscale3,~#incscale3~,Increases the specified scale in the province by three steps.
incunrest,#incunrest,~#incunrest~,The monster will increase or decrease unrest at his location. The value divided by 10 is the amount increased per month. A negative can be used to decrease unrest instead.
indepflag,#indepflag,~#indepflag~,Replace the flag of independents with an image. The image must be 128 pixels wide and 128 pixels high. The flag should be positioned at the bottom of this image. This command is special in that it should be used when no nation is selected i.e. before #selectnation or #newnation.
indepmove,#indepmove,~#indepmove~,This ability is used by certain horrors to make them move on the world map. A monster with this ability have percent chance of moving each month as long as it is owned by independents.
indepspells,#indepspells,~#indepspells~,Usually independent mages will only know low level research spells. This command will give them access to all spell with this research level and lower when they fight as independent.
indepstay,#indepstay,~#indepstay~,A 1 in this ability means that the monster will stop moving once it has reached a throne province.
infernoret,#infernoret,~#infernoret~,Extra chance per month of returning from the Inferno the infernal realm of fire.
inquisitor,#inquisitor,~#inquisitor~,This monster has a bonus when preaching against enemy Dominion. Its holy magic level counts as double for this purpose. The monster must have the #holy tag.
insane,#insane,~#insane~,The monster has a chance of being insane each turn. The Mad Priests of Rlyeh have a value of 50 in this attribute.
insanify,#insanify,~#insanify~,The monster spreads insanity to both military units and population in the province. The percent value is the chance for a military unit in the same province to be infected.
inspirational,#inspirational,~#inspirational~,All units under the command of this monster have their morale increased by
inspiringres,#inspiringres,~#inspiringres~,The monster inspires other mages to be more effective researchers. All other mages in the same province gain a research bonus equal to
internal,#internal,~#internal~,The weapon inflicts internal damage that cannot be negated by effects like mist form mossbody etc. Used on e.g. Incinerate and Disintegrate.
invisible,#invisible,~#invisible~,Invisible units can only be seen by units with spirit sight. When a unit with invisibility is sneaking only patrolling units with spirit sight will be able to find it. In combat invisibility gives any melee attackers -10 to their attack skill unless they have spirit sight.
invulnerable,#invulnerable,~#invulnerable~,The monster has invulnerability to non-magical weapons. The invulnerability value counts as natural protection against normal weapons.
ironarmor,#ironarmor,~#ironarmor~,Indicates that the armor is made of iron.
ironskin,#ironskin,~#ironskin~,The item automatically applies the Ironskin spell to the bearer.
ironvul,#ironvul,~#ironvul~,The monster will take points amount of extra damage when wounded by an iron weapon in melee.
ironweapon,#ironweapon,~#ironweapon~,The weapon is made of iron and is subject to rust and spells that damage iron equipment.
islance,#islance,~#islance~,This item can only be used by mounted or flying units or centaurs.
islandnation,#islandnation,~#islandnation~,The nation prefers to start on an island if possible or a coast if no suitable island could be found.
islandsite,#islandsite,~#islandsite~,Like #startsite but the nation will only get the site if it starts on an island.
item,#item,~#item~,A specific magic item for the commander. A maximum four items per band can be assigned.
itemcost1,#itemcost1,~#itemcost1~,This command makes the item bonus percent more expensive to forge. Negative values can also be used to make it cheaper. The itemcost1 command only affects the cost of the first magic path.
itemcost2,#itemcost2,~#itemcost2~,This command makes the item bonus percent more expensive to forge. Negative values can also be used to make it cheaper. The itemcost2 command only affects the cost of the second magic path.
itemdrawsize,#itemdrawsize,~#itemdrawsize~,The value indicates how many percent larger size the item sprite should be drawn at. A negative value means it will be draw at a smaller size than normal.
itemslots,#itemslots,~#itemslots~,Sets which item slots are available for this monster. See Table Item slot values for useful slot values. If you want to have 2 hand slots and 1 body slot then just add those two numbers together. Never add 1 hand and 1 hand use the 2 hands value instead. The bottom three entries in the table are some precalculated values for your convenience.
ivylord,#ivylord,~#ivylord~,This monster will receive extra units when summoning Vine Men of different kind.
kill,#kill,~#kill~,Kills off a percentage of the province population.
kill2d6mon,#kill2d6mon,~#kill2d6mon~,Kills 2d6 non-commander units of the specified type in the province.
killcappop,#killcappop,~#killcappop~,Kills a percentage of the capitals population when the game starts. Value can be negative to increase population instead.  These mod commands are instructions to the Dominions 5 artificial intelligence on certain aspects of managing the nation. They have no effect in a game where the nation is controlled by a human player.
killcom,#killcom,~#killcom~,Kills a commander of the specified type in the province.
killfeatures,#killfeatures,~#killfeatures~, Removes all magic sites from the active province.
killmon,#killmon,~#killmon~,Kills one non-commander unit of the specified type in the province.
killpop,#killpop,~#killpop~,Kills off a fixed number of province population. One dekapop equals 10 inhabitants. The exact amount varies with +/- 25%.
knownfeature,#knownfeature,~#knownfeature~, Puts a specific magic site in the active province. This site is already found at the start of the game
kokytosret,#kokytosret,~#kokytosret~,Extra chance per month of returning from Kokytos the infernal realm of ice.
lab,#lab,~#lab~, Puts a laboratory in the active province.
labcost,#labcost,~#labcost~,Gold cost for building a lab. The default is 500.
lamialord,#lamialord,~#lamialord~,This monster will receive extra units when summoning Lamias of different kind. This ability will not be visible when inspecting the monster.
lanceok,#lanceok,~#lanceok~,This monster can use lances even though it is not flying or mounted. Use this attribute on centaurs.
